date,rets,vix,vixann,c,rv,jump
1990-05-08,0.00433674896585563,0.000113055588624339,18.49,1.8184684870119e-05,1.8185e-05,0.0
1990-05-09,0.00248222417812162,0.000114897354497355,18.64,3.68555740643862e-05,3.6856e-05,0.0
1990-05-10,0.00279606403401253,0.000114281779100529,18.59,1.71635953061489e-05,1.7164e-05,0.0
1990-05-11,0.0235129109847497,0.000129773842592593,19.81,0.000102806109518845,0.00010281,0.0
1990-05-14,0.00778214044205495,0.000134133465608466,20.14,8.65246799188346e-05,8.6525e-05,0.0
1990-05-15,-0.00132575509876986,0.000125615112433862,19.49,2.25189620078916e-05,2.2519e-05,0.0
1990-05-16,-0.000790647807607748,0.000103718287037037,17.71,4.49624818717856e-05,4.4962e-05,0.0
1990-05-17,0.00132680302327353,9.86286044973545e-05,17.27,1.76228168484628e-05,4.0605e-05,2.29824031139793e-05
1990-05-18,0.000479474279750224,9.78306878306878e-05,17.2,1.70018632000374e-05,1.7002e-05,0.0
1990-05-21,0.00942979596390223,9.24465608465608e-05,16.72,6.08253712106399e-05,6.0825e-05,0.0
1990-05-22,0.00120039655412014,0.000105246560846561,17.84,9.45788992693474e-05,9.4579e-05,0.0
1990-05-23,0.00239647888198635,9.76033068783069e-05,17.18,2.72388721704099e-05,2.7239e-05,0.0
1990-05-24,-0.00245227933956442,0.00010360119047619,17.7,1.85767091205353e-05,1.8577e-05,0.0
1990-05-25,-0.0107435920270078,9.92005291005291e-05,17.32,6.25250869871436e-05,6.2525e-05,0.0
1990-05-29,0.0169739684794473,0.00011625744047619,18.75,5.01997183502294e-05,5.02e-05,0.0
1990-05-30,0.000582112530470724,0.000100579894179894,17.44,4.00026854308724e-05,4.0003e-05,0.0
1990-05-31,0.00102480309208506,9.97741071428572e-05,17.37,4.80276744931127e-06,4.8028e-06,0.0
1990-06-01,0.00532863393131902,9.65833664021164e-05,17.09,2.82488940851146e-05,2.8249e-05,0.0
1990-06-04,0.0116076642774688,0.000111836011904762,18.39,3.56466960594602e-05,3.5647e-05,0.0
1990-06-05,-0.00207073258015659,0.00011900162037037,18.97,8.55141273141105e-06,2.2963e-05,1.44116311544491e-05
1990-06-06,-0.00459268166479069,0.000100349338624339,17.42,2.81628983270501e-05,2.8163e-05,0.0
1990-06-07,-0.00497178648390076,9.42243386243386e-05,16.88,4.16297800222231e-05,4.163e-05,0.0
1990-06-08,-0.0123017094525789,0.00010220119047619,17.58,5.79061308605973e-05,5.7906e-05,0.0
1990-06-11,0.00810732707882091,8.82921957671958e-05,16.34,2.41405686365066e-05,2.4141e-05,0.0
1990-06-12,0.012694570652858,9.11243386243386e-05,16.6,7.41546359292325e-05,7.4155e-05,0.0
1990-06-13,-0.00369281688887521,9.98890211640211e-05,17.38,4.60364784577822e-05,4.6036e-05,0.0
1990-06-14,-0.00549602922337733,0.000100119047619048,17.4,3.99024372460689e-05,3.9902e-05,0.0
1990-06-15,2.75554208419747e-05,8.36011904761905e-05,15.9,1.26610698115911e-05,2.9935e-05,1.72743810310986e-05
1990-06-18,-0.0167552788198573,0.000103718287037037,17.71,4.94539058828491e-05,4.9454e-05,0.0
1990-06-19,0.00444538370976294,7.67040013227513e-05,15.23,5.05759440559986e-05,5.0576e-05,0.0
1990-06-20,0.00175592670226479,7.71074404761905e-05,15.27,4.70364878426604e-05,4.7036e-05,0.0
1990-06-21,0.00380783427705661,7.16529100529101e-05,14.72,3.01413505680797e-05,3.0141e-05,0.0
1990-06-22,-0.0140804114208099,0.000123944973544974,19.36,7.70238150603308e-05,0.00025988,0.000182854142715854
1990-06-25,-0.00881685424470199,9.62445767195767e-05,17.06,4.52564609142698e-05,4.5256e-05,0.0
1990-06-26,-0.000709854225755705,8.77526785714286e-05,16.29,4.33214809860712e-05,0.00010091,5.75909353208895e-05
1990-06-27,0.00871046231286244,8.46560846560847e-05,16.0,5.03363296043564e-05,5.0336e-05,0.0
1990-06-28,0.00698685446733136,8.65715608465609e-05,16.18,2.03029022636254e-05,2.0303e-05,0.0
1990-06-29,0.0010899183640256,7.94477513227513e-05,15.5,1.70060824792901e-05,1.7006e-05,0.0
1990-07-02,0.00423658585622458,8.74297619047619e-05,16.26,1.61383632023752e-05,1.6138e-05,0.0
1990-07-03,0.00172294054015202,8.58241071428571e-05,16.11,5.65696919231082e-06,5.657e-06,0.0
1990-07-05,-0.0125169269425358,9.84002976190476e-05,17.25,0.000117337866088191,0.00011734,0.0
1990-07-06,0.00767403289935619,8.90502976190476e-05,16.41,2.36352872204803e-05,2.3635e-05,0.0
1990-07-09,0.00306432532177623,9.17842592592593e-05,16.66,2.56194584614089e-05,2.5619e-05,0.0
1990-07-10,-0.00846361946697428,9.46714285714286e-05,16.92,1.50937985106095e-05,4.5536e-05,3.04426680849746e-05
1990-07-11,0.0132086856021926,9.20047619047619e-05,16.68,4.17249030387084e-05,4.1725e-05,0.0
